TYPENAME,,PartNonMesh,,Module,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Module.Name,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Module.Name,DataType=Dimensions,Dimension,Value,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.09375in-Finish1-0RawMaterial-Plastic-6B6B6B,,Assembly_2FlexDims1Fixed_PlanarPattern,,"3/32in, Plastic, Gray 6",,Thickness,0.09375in,,,,Finish1,0RawMaterial-Plastic,,0,6B6B6B,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.0625in-Finish1-0RawMaterial-Plastic-6B6B6B,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/16in, Plastic, Gray 6",,Thickness,0.0625in,,,,Finish1,0RawMaterial-Plastic,,0,6B6B6B,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.03125in-Finish1-0RawMaterial-Gypsum-D6D7D1,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/32in, Gypsum",,Thickness,0.03125in,,,,Finish1,0RawMaterial-Gypsum,,0,D6D7D1,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-2in-Finish1-0RawMaterial-Gravel-FFFFFF,,Assembly_2FlexDims1Fixed_PlanarPattern,,"2in, Gravel",,Thickness,2in,,,,Finish1,0RawMaterial-Gravel,,0,FFFFFF,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-3in-Finish1-0RawMaterial-Gravel-FFFFFF,,Assembly_2FlexDims1Fixed_PlanarPattern,,"3in, Gravel",,Thickness,3in,,,,Finish1,0RawMaterial-Gravel,,0,FFFFFF,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-3in-Finish1-0RawMaterial-Grass-FFFFFF,,Assembly_2FlexDims1Fixed_PlanarPattern,,"3in, Grass",,Thickness,3in,,,,Finish1,0RawMaterial-Grass,,0,FFFFFF,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-2in-Finish1-0RawMaterial-Decomposed Granite-CCCCCC,,Assembly_2FlexDims1Fixed_PlanarPattern,,"2in, Decomposed Granite, Light Gray",,Thickness,2in,,,,Finish1,0RawMaterial-Decomposed Granite,,0,CCCCCC,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-3in-Finish1-0RawMaterial-Sand-FFFFFF,,Assembly_2FlexDims1Fixed_PlanarPattern,,"3in, Sand",,Thickness,3in,,,,Finish1,0RawMaterial-Sand,,0,FFFFFF,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-6in-Finish1-0RawMaterial-Soil-FFFFFF,,Assembly_2FlexDims1Fixed_PlanarPattern,,"6in, Soil",,Thickness,6in,,,,Finish1,0RawMaterial-Soil,,0,FFFFFF,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-12in-Finish1-0RawMaterial-Asphalt-6B6758,,Assembly_2FlexDims1Fixed_PlanarPattern,,"12in, Asphalt, Olive",,Thickness,12in,,,,Finish1,0RawMaterial-Asphalt,,0,6B6758,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.375in-Finish1-0RawMaterial-Plaster-F7EBDB,,Assembly_2FlexDims1Fixed_PlanarPattern,,"3/8in, Plaster, Shell",,Thickness,0.375in,,,,Finish1,0RawMaterial-Plaster,,0,F7EBDB,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.03125in-Finish1-0RawMaterial-Joint Compound-D6D7D1,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/32in, Joint Compound",,Thickness,0.03125in,,,,Finish1,0RawMaterial-Joint Compound,,0,D6D7D1,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.02in-Finish1-0RawMaterial-Paint-F3F1ED,,Assembly_2FlexDims1Fixed_PlanarPattern,,"Typical Coat (1/50in), Paint, Gentle White",,Thickness,0.02in,,,,Finish1,0RawMaterial-Paint,,0,F3F1ED,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.02in-Finish1-0RawMaterial-Paint-C4C4C4,,Assembly_2FlexDims1Fixed_PlanarPattern,,"Typical Coat (1/50in), Paint, Grey",,Thickness,0.02in,,,,Finish1,0RawMaterial-Paint,,0,C4C4C4,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.02in-Finish1-0RawMaterial-Paint-262527,,Assembly_2FlexDims1Fixed_PlanarPattern,,"Typical Coat (1/50in), Paint, Midnight",,Thickness,0.02in,,,,Finish1,0RawMaterial-Paint,,0,262527,
,,,,,,,,,,IconLength,64in,,,,,,,,,
