TYPENAME,,0Color,,Color,,,,
,,Definition,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,
PROPERTY,,DisplayText,,Name,,Color.Name,,
PROPERTY,,HexValue,,,,Color.HEXValue,,
,,Presets,,,,,,
TAGPATHS,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Color.Name,Color.HEXValue,
PRESET,,0Color_Ceramic_Clay-D5B795-Tan,,0Color_Ceramic_Clay,,Tan,D5B795,
PRESET,,0Color_Ceramic_Clay-9C7164-Mulberry,,0Color_Ceramic_Clay,,Mulberry,9C7164,
PRESET,,0Color_Ceramic_Clay-EFDABF-Cream,,0Color_Ceramic_Clay,,Cream,EFDABF,
PRESET,,0Color_Ceramic_Clay-5A535A-Ashberry,,0Color_Ceramic_Clay,,Ashberry,5A535A,
PRESET,,0Color_Ceramic_Clay-5A4E47-Driftwood,,0Color_Ceramic_Clay,,Driftwood,5A4E47,
PRESET,,0Color_Ceramic_Clay-825F4C-Brown,,0Color_Ceramic_Clay,,Brown,825F4C,
PRESET,,0Color_Ceramic_Clay-FEF9F3-White,,0Color_Ceramic_Clay,,White,FEF9F3,
PRESET,,0Color_Ceramic_Clay-4F4B48-Midnight,,0Color_Ceramic_Clay,,Midnight,4F4B48,
PRESET,,0Color_Ceramic_Clay-63454D-Plum,,0Color_Ceramic_Clay,,Plum,63454D,
PRESET,,0Color_Ceramic_Clay-EDCB6E-Yellow,,0Color_Ceramic_Clay,,Yellow,EDCB6E,
PRESET,,0Color_Ceramic_Porcelain-FAFAFA-NearlyWhite,,0Color_Ceramic_Porcelain,,Nearly White,FAFAFA,
PRESET,,0Color_Ceramic_Porcelain-E6E3DE-Eggshell,,0Color_Ceramic_Porcelain,,Eggshell,E6E3DE,
PRESET,,0Color_Ceramic_Porcelain-F9D0BA-Peach,,0Color_Ceramic_Porcelain,,Peach,F9D0BA,
PRESET,,0Color_Ceramic_Porcelain-F2BEB3-Coral,,0Color_Ceramic_Porcelain,,Coral,F2BEB3,
PRESET,,0Color_Ceramic_Porcelain-EEE7D5-Butter,,0Color_Ceramic_Porcelain,,Butter,EEE7D5,
PRESET,,0Color_Ceramic_Porcelain-D7E5D8-Mint,,0Color_Ceramic_Porcelain,,Mint,D7E5D8,
PRESET,,0Color_Ceramic_Porcelain-A5CCDB-Cerulean,,0Color_Ceramic_Porcelain,,Cerulean,A5CCDB,
PRESET,,0Color_Glass and Transparent_Air-FFFFFF-Clear,,0Color_Glass and Transparent_Air,,Clear,FFFFFF,
PRESET,,0Color_Glass and Transparent_Glass-F2F2F2-Untinted,,0Color_Glass and Transparent_Glass,,Untinted,F2F2F2,
PRESET,,0Color_Glass and Transparent_Glass-E1DDDA-Limestone,,0Color_Glass and Transparent_Glass,,Limestone,E1DDDA,
PRESET,,0Color_Glass and Transparent_Glass-D6DADB-Slate,,0Color_Glass and Transparent_Glass,,Slate,D6DADB,
PRESET,,0Color_Glass and Transparent_Glass-BAC7CD-ChillyBlue,,0Color_Glass and Transparent_Glass,,Chilly Blue,BAC7CD,
PRESET,,0Color_Glass and Transparent_Glass-829CA9-BayBlue,,0Color_Glass and Transparent_Glass,,Bay Blue,829CA9,
PRESET,,0Color_Glass and Transparent_Glass-A6C7C0-Aquamarine,,0Color_Glass and Transparent_Glass,,Aquamarine,A6C7C0,
PRESET,,0Color_Glass and Transparent_Glass-A7B5A8-SageGreen,,0Color_Glass and Transparent_Glass,,Sage Green,A7B5A8,
PRESET,,0Color_Glass and Transparent_Glass-D1C6A6-SandyYellow,,0Color_Glass and Transparent_Glass,,Sandy Yellow,D1C6A6,
PRESET,,0Color_Glass and Transparent_Glass-AC8F8B-DeepBlush,,0Color_Glass and Transparent_Glass,,Deep Blush,AC8F8B,
PRESET,,0Color_Glass and Transparent_Glass-292D38-Indigo,,0Color_Glass and Transparent_Glass,,Indigo,292D38,
PRESET,,0Color_Glass and Transparent_Glass-DFE8E3-Clear,,0Color_Glass and Transparent_Glass,,Clear,DFE8E3,
PRESET,,0Color_Glass and Transparent_Glass-C2DAD0-Green,,0Color_Glass and Transparent_Glass,,Green,C2DAD0,
PRESET,,0Color_Glass and Transparent_Glass-BECACA-GreyGreen,,0Color_Glass and Transparent_Glass,,Grey Green,BECACA,
PRESET,,0Color_Glass and Transparent_Glass-A6AAAD-DarkGrey,,0Color_Glass and Transparent_Glass,,Dark Grey,A6AAAD,
PRESET,,0Color_Glass and Transparent_Glass-BAB1A7-Bronze,,0Color_Glass and Transparent_Glass,,Bronze,BAB1A7,
PRESET,,0Color_Glass and Transparent_Glass-EBEBE9-LowIron,,0Color_Glass and Transparent_Glass,,Low Iron,EBEBE9,
PRESET,,0Color_Glass and Transparent_Glass-A5C1CD-Blue,,0Color_Glass and Transparent_Glass,,Blue,A5C1CD,
PRESET,,0Color_Glass and Transparent_Glass-A9D6D8-Teal,,0Color_Glass and Transparent_Glass,,Teal,A9D6D8,
PRESET,,0Color_Glass and Transparent_Glass-C6D1D7-GreyBlue,,0Color_Glass and Transparent_Glass,,Grey Blue,C6D1D7,
PRESET,,0Color_Glass and Transparent_Mesh Fly Screen-FFFFFF-Untinted,,0Color_Glass and Transparent_Mesh Fly Screen,,Untinted,FFFFFF,
PRESET,,0Color_Glass and Transparent_Mesh Fly Screen-CCCCCC-Dark,,0Color_Glass and Transparent_Mesh Fly Screen,,Dark,CCCCCC,
PRESET,,0Color_Metal_Aluminum-FFFFFF-PureWhite,,0Color_Metal_Aluminum,,Pure White,FFFFFF,
PRESET,,0Color_Metal_Aluminum-EBECF0-LightGray,,0Color_Metal_Aluminum,,Light Gray,EBECF0,
PRESET,,0Color_Metal_Aluminum-C4B99D-Sandstone,,0Color_Metal_Aluminum,,Sandstone,C4B99D,
PRESET,,0Color_Metal_Aluminum-F4F3D7-Birch,,0Color_Metal_Aluminum,,Birch,F4F3D7,
PRESET,,0Color_Metal_Aluminum-D0C0A9-Portland,,0Color_Metal_Aluminum,,Portland,D0C0A9,
PRESET,,0Color_Metal_Aluminum-AAAB8C-GreenGray,,0Color_Metal_Aluminum,,Green Gray,AAAB8C,
PRESET,,0Color_Metal_Aluminum-634C44-Brown,,0Color_Metal_Aluminum,,Brown,634C44,
PRESET,,0Color_Metal_Aluminum-535B50-Yorktown,,0Color_Metal_Aluminum,,Yorktown,535B50,
PRESET,,0Color_Metal_Aluminum-2B3033-Quaker,,0Color_Metal_Aluminum,,Quaker,2B3033,
PRESET,,0Color_Metal_Aluminum-3E282A-Amber,,0Color_Metal_Aluminum,,Amber,3E282A,
PRESET,,0Color_Metal_Aluminum-331F20-PatricianBronze,,0Color_Metal_Aluminum,,Patrician Bronze,331F20,
PRESET,,0Color_Metal_Aluminum-DDB486-BurntAlmond,,0Color_Metal_Aluminum,,Burnt Almond,DDB486,
PRESET,,0Color_Metal_Aluminum-BD9C2B-Gold,,0Color_Metal_Aluminum,,Gold,BD9C2B,
PRESET,,0Color_Metal_Aluminum-BEA883-Taupe,,0Color_Metal_Aluminum,,Taupe,BEA883,
PRESET,,0Color_Metal_Aluminum-81B46F-SpringHill,,0Color_Metal_Aluminum,,Spring Hill,81B46F,
